system   D            wsystem.c:585  maybe_parent_dir                 [   0.00365] Also searching C:\Users\Roland\Documents\GITHUB\Brick-Breaker\
system   D            wsystem.c:635  _al_win_safe_load_library        [   0.02885] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:546  load_library_at_path             [   0.02892] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:549  load_library_at_path             [   0.14851] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:695  _al_d3d_init_display             [   0.69745] Render-to-texture: 1
system   I             system.c:270  al_install_system                [   0.69756] Allegro version: 5.0.9
d3d      I         d3d_disp.cpp:1736 d3d_create_display_locked        [   0.69863] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.69867] al_display=00413D80
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.69868] al_display->vt=00413CB8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.71128] found 96 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.71134] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71137] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.71138] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71140] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.71142] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.71144] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.71145] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71147] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.71148] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71150] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.71152] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.71154] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.71155] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71157] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.71159] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71161] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.71162] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.71164] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.71169] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71171] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.71179] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71181] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.71183] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.71193] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.71195] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71197] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.71199] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71201] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.71202] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.71204] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.71205] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71207] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.71209] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71211] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.71212] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.71214] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.71216] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71218] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.71219] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71221] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.71223] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.71225] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.71226] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71228] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.71230] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.71232] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.71233] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.71235] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.71236] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71238] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71240] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71242] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71244] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.71246] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71247] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71252] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71254] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71256] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71257] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.71259] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71261] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71263] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71264] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71266] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71268] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.71270] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71271] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71273] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71275] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71277] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71279] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.71280] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71282] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71284] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71286] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71288] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71289] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.71291] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71293] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71295] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71296] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71298] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71300] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.71302] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71303] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71306] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.71307] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.71309] Single Buffer requirement not met.
